
date,product_id,demand_quantity,actual_sales,forecast_accuracy,season_factor
2024-06-01,P001,120,115,0.96,1.1
2024-06-01,P002,180,175,0.97,1.2
2024-06-01,P003,90,85,0.94,1.0
2024-06-01,P004,200,195,0.98,1.3
2024-06-01,P005,60,58,0.97,0.9
2024-06-15,P001,135,130,0.96,1.1
2024-06-15,P002,220,210,0.95,1.2
2024-06-15,P003,95,92,0.97,1.0
2024-06-15,P004,250,240,0.96,1.3
2024-06-15,P005,70,68,0.97,0.9
2024-06-25,P001,150,145,0.97,1.1
2024-06-25,P002,280,270,0.96,1.2
2024-06-25,P003,110,105,0.95,1.0
2024-06-25,P004,300,290,0.97,1.3
2024-06-25,P005,80,78,0.98,0.9
