
product_id,product_name,current_stock,min_threshold,max_capacity,warehouse_id,supplier_id,unit_cost,last_updated
P001,Widget A,150,50,500,W001,S001,12.50,2024-06-25
P002,Widget B,25,100,400,W001,S002,8.75,2024-06-26
P003,Component X,300,200,800,W002,S001,15.20,2024-06-25
P004,Component Y,75,150,600,W002,S003,22.30,2024-06-26
P005,Assembly Z,200,100,300,W003,S002,45.60,2024-06-25
P006,Part Alpha,50,80,250,W001,S004,18.90,2024-06-27
P007,Part Beta,180,120,400,W003,S001,31.25,2024-06-26
P008,Module Gamma,90,100,350,W002,S003,28.40,2024-06-25
P009,Unit Delta,220,150,500,W001,S002,19.80,2024-06-27
P010,Device Epsilon,45,60,200,W003,S004,52.10,2024-06-26
