
order_id,customer_id,product_id,quantity,order_date,expected_delivery,priority,status,warehouse_id
O001,C001,P001,100,2024-06-20,2024-06-30,HIGH,PROCESSING,W001
O002,C002,P002,150,2024-06-21,2024-07-01,MEDIUM,PENDING,W001
O003,C003,P003,80,2024-06-22,2024-06-28,HIGH,SHIPPED,W002
O004,C001,P004,200,2024-06-23,2024-07-05,LOW,PROCESSING,W002
O005,C004,P005,50,2024-06-24,2024-07-02,HIGH,PENDING,W003
O006,C002,P006,120,2024-06-25,2024-07-03,MEDIUM,PROCESSING,W001
O007,C005,P007,75,2024-06-26,2024-07-04,HIGH,PENDING,W003
O008,C003,P008,90,2024-06-26,2024-07-01,MEDIUM,PROCESSING,W002
O009,C006,P009,110,2024-06-27,2024-07-06,LOW,PENDING,W001
O010,C004,P010,60,2024-06-27,2024-07-05,HIGH,PROCESSING,W003
